Sample,Partition,Branch,Corrected P-value,Raw P-value,Rate classes,omega_max,significant_branch_0.10,status
BDNF-64,1,NM_001009828_1_Felis_catus_brain_derived_neurotrophic_factor_BDNF_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001012441_1_Pan_troglodytes_brain_derived_neurotrophic_factor_BDNF_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001048142_1_Mus_musculus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_4_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001081787_1_Equus_caballus_brain_derived_neurotrophic_factor_BDNF_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001270630_1_Rattus_norvegicus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_1_mRNA,1.0,,0,,0,ok
BDNF-64,1,NM_001709_5_Homo_sapiens_brain_derived_neurotrophic_factor_BDNF_transcript_variant_4_mRNA,1.0,,0,,0,ok
BDNF-64,1,Node1,,,0,,0,ok
BDNF-64,1,Node2,,,0,,0,ok
BDNF-64,1,Node4,1.0,,0,,0,ok
BDNF-64,1,Node48,,,0,,0,ok
BDNF-64,1,Node52,,,0,,0,ok
BDNF-64,1,Node54,,,0,,0,ok
BDNF-64,1,Node55,,,0,,0,ok
BDNF-64,1,Node56,,,0,,0,ok
BDNF-64,1,Node57,,,0,,0,ok
BDNF-64,1,Node61,1.0,,0,,0,ok
BDNF-64,1,Node66,,,0,,0,ok
BDNF-64,1,Node67,,,0,,0,ok
BDNF-64,1,Node69,,,0,,0,ok
BDNF-64,1,Node7,,,0,,0,ok
BDNF-64,1,Node70,,,0,,0,ok
BDNF-64,1,Node71,,,0,,0,ok
BDNF-64,1,Node74,,,0,,0,ok
BDNF-64,1,Node77,,,0,,0,ok
BDNF-64,1,Node8,,,0,,0,ok
BDNF-64,1,XM_004408653_1_PREDICTED_Odobenus_rosmarus_divergens_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_004585440_1_PREDICTED_Ochotona_princeps_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_004644113_2_PREDICTED_Octodon_degus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_004660846_2_PREDICTED_Jaculus_jaculus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_004851581_3_PREDICTED_Heterocephalus_glaber_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_005216334_4_PREDICTED_Bos_taurus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_005401751_2_PREDICTED_Chinchilla_lanigera_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_005654684_3_PREDICTED_Sus_scrofa_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_005890667_2_PREDICTED_Bos_mutus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_006068006_2_PREDICTED_Bubalus_bubalis_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X2_mRNA,,,0,,0,ok
BDNF-64,1,XM_007497196_2_PREDICTED_Monodelphis_domestica_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_007653166_4_PREDICTED_Cricetulus_griseus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_008686880_2_PREDICTED_Ursus_maritimus_brain_derived_neurotrophic_factor_BDNF_mRNA,,,0,,0,ok
BDNF-64,1,XM_009007854_3_PREDICTED_Callithrix_jacchus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_010831788_1_PREDICTED_Bison_bison_bison_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_011226480_3_PREDICTED_Ailuropoda_melanoleuca_brain_derived_neurotrophic_factor_BDNF_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_012096129_4_PREDICTED_Ovis_aries_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X2_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_013019592_1_PREDICTED_Dipodomys_ordii_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_013147262_2_PREDICTED_Cavia_porcellus_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_015114598_2_PREDICTED_Macaca_mulatta_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_015476449_1_PREDICTED_Marmota_marmota_marmota_brain_derived_neurotrophic_factor_Bdnf_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_015544869_1_PREDICTED_Panthera_tigris_altaica_brain_derived_neurotrophic_factor_BDNF_mRNA,,,0,,0,ok
BDNF-64,1,XM_019974522_1_PREDICTED_Bos_indicus_brain_derived_neurotrophic_factor_BDNF_mRNA,,,0,,0,ok
BDNF-64,1,XM_020177315_1_PREDICTED_Castor_canadensis_brain_derived_neurotrophic_factor_Bdnf_mRNA,,,0,,0,ok
BDNF-64,1,XM_020903256_1_PREDICTED_Odocoileus_virginianus_texanus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_020977976_1_PREDICTED_Phascolarctos_cinereus_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,1.0,,0,,0,ok
BDNF-64,1,XM_021151236_2_PREDICTED_Mus_caroli_brain_derived_neurotrophic_factor_Bdnf_mRNA,,,0,,0,ok
BDNF-64,1,XM_021192829_2_PREDICTED_Mus_pahari_brain_derived_neurotrophic_factor_Bdnf_mRNA,,,0,,0,ok
BDNF-64,1,XM_021685880_1_PREDICTED_Neomonachus_schauinslandi_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,,,0,,0,ok
BDNF-64,1,XM_025879326_1_PREDICTED_Callorhinus_ursinus_brain_derived_neurotrophic_factor_BDNF_mRNA,,,0,,0,ok
BDNF-64,1,XM_026018600_1_PREDICTED_Vulpes_vulpes_brain_derived_neurotrophic_factor_BDNF_transcript_variant_X1_mRNA,,,0,,0,ok
